ObjectID,SamplingSite,SampleNumber,pXRFSampleNumber,PbMeasurement_ppm,Longitude,Latitude,Buffer_m
52,SIMS,S15,1145,121,-87.669336580509,41.8511250849506,400
53,SIMS,S16,1146,111,-87.6699351422432,41.8508982720227,400
54,SIMS,S17,1147,91,-87.6705398092104,41.8506600489148,400
55,SIMS,S18,1148,81,-87.6713536097636,41.8503293584511,400
56,SIMS,S19,1149,39,-87.6720307581281,41.8500957360484,400
57,SIMS,S20,1150,110,-87.6725930092147,41.8498870779127,600
58,SIMS,S21,1152,44,-87.6732522392134,41.8496879357482,600
59,Paseo,P1,1160,0,-87.6498364470693,41.8541690064431,600
60,Paseo,P2,1161,191,-87.6498324881654,41.854290889406,600
61,Paseo,P3,1162,84,-87.649904282327,41.8544341097686,600
62,Paseo,P4,1163,45,-87.6498910718426,41.8545404216871,600
63,Paseo,P5,1164,89,-87.6499427995139,41.8546958720188,600
64,Paseo,P6,1165,172,-87.6499445969091,41.8548654470443,600
65,Paseo,P7,1166,0,-87.6500157343355,41.8550126740147,600
66,Paseo,P8,1167,19,-87.6499765701836,41.8551537595551,600
67,Paseo,P9,1168,44,-87.6496998326352,41.8552075536566,600
68,Paseo,P10,1169,0,-87.6497535124494,41.8550523265076,600
69,Paseo,P11,1170,0,-87.6497456790054,41.8549242843748,600
70,Paseo,P12,1171,0,-87.6497277965386,41.8547662449278,600
71,Paseo,P13,1172,0,-87.6496831941442,41.8546081994301,600
72,Paseo,P14,1173,0,-87.6496920439072,41.8545941830063,600
73,Paseo,P15,1174,134,-87.6497895875194,41.8543811679962,600
74,Paseo,P16,1175,126,-87.6497704054428,41.8542735491265,600
75,Paseo,P17,1176,384,-87.6497247601075,41.8541317561453,600
76,Paseo,P18,1177,101,-87.6497220295104,41.8540093459371,600
77,Paseo,P19,1178,13,-87.649838674647,41.8541748820554,600
78,Paseo,P20,1179,17,-87.6498861113481,41.8542261664273,600
79,Paseo,P21,1180,0,-87.6498607945938,41.8542317462119,600
80,Paseo,P22,1181,0,-87.6498374886609,41.8542439829909,600
81,Paseo,P23,1182,0,-87.6498522808856,41.8542242685047,600
82,Paseo,P24,1183,28,-87.6498427520522,41.8542154807261,600
83,Paseo,P25,1184,0,-87.6498602143181,41.8542408645867,600
84,Paseo,P26,1185,18,-87.649830140865,41.8542505764581,600
85,Paseo,P27,1186,0,-87.6498179819672,41.8542481182908,600
86,Paseo,P28,1187,11,-87.6498153889427,41.8542680141144,600
87,Paseo,P29,1188,0,-87.6498934471559,41.854274240698,600
88,Paseo,P30,1189,47,-87.6498236265671,41.8542753741239,600
89,Paseo,P31,1190,16,-87.6498193413059,41.854259343149,600
90,Paseo,P32,1191,20,-87.6498265286293,41.854291220729,600
91,Paseo,P33,1192,0,-87.6498384241839,41.8542779176832,600
92,Paseo,P34,1193,0,-87.6498393754878,41.8543190501565,600
93,Paseo,P35,1134,9,-87.6497918888416,41.8543471825541,600
94,Paseo,P36,1195,0,-87.6498093193727,41.8543548900742,600
95,Paseo,P37,1196,15,-87.649866036553,41.854456495986,600
96,Paseo,P38,1197,0,-87.6499367214281,41.8545601570983,600
97,Paseo,P39,1198,27,-87.6498970165839,41.8545296120982,600
98,Paseo,P40,1199,0,-87.6497724540745,41.8544859380368,600
99,Paseo,P41,1200,0,-87.6498489411686,41.8544944172406,600
100,Paseo,P42,1201,16,-87.6498493866354,41.8545545878853,600
101,HarrisonPark,H1,1206,234,-87.6756663666565,41.8563453361468,1200
102,HarrisonPark,H2,1207,12,-87.6754338014115,41.8565652622958,1200
103,HarrisonPark,H3,1208,0,-87.6748992103895,41.8568208778793,1200
104,HarrisonPark,H4,1209,12,-87.6744511084233,41.8571235977793,1200
105,HarrisonPark,H5,1210,0,-87.6740025763562,41.8574177395466,1200
106,HarrisonPark,H6,1211,57,-87.6736329710825,41.857557348447,1200
107,HarrisonPark,H7,1212,0,-87.6720742778167,41.85643493521,1000
